Pipeline Type,Cause Category,Unintentional Release (Barrels)
ABOVEGROUND,ALL OTHER CAUSES,61.173269230769236
ABOVEGROUND,CORROSION,37.943636363636365
ABOVEGROUND,EXCAVATION DAMAGE,37.800000000000004
ABOVEGROUND,INCORRECT OPERATION,27.4472202166065
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,48.03465825446898
ABOVEGROUND,NATURAL FORCE DAMAGE,92.69545454545455
ABOVEGROUND,OTHER OUTSIDE FORCE DAMAGE,273.7407692307692
TANK,ALL OTHER CAUSES,137.8875
TANK,CORROSION,77.45285714285714
TANK,INCORRECT OPERATION,163.50458333333333
TANK,MATERIAL/WELD/EQUIP FAILURE,184.91596026490066
TANK,NATURAL FORCE DAMAGE,147.9206451612903
TANK,OTHER OUTSIDE FORCE DAMAGE,1.0
TRANSITION AREA,CORROSION,2.8542857142857145
TRANSITION AREA,INCORRECT OPERATION,5.2299999999999995
TRANSITION AREA,MATERIAL/WELD/EQUIP FAILURE,212.69750000000002
TRANSITION AREA,NATURAL FORCE DAMAGE,191.0
TRANSITION AREA,OTHER OUTSIDE FORCE DAMAGE,5.0
UNDERGROUND,ALL OTHER CAUSES,693.6388888888889
UNDERGROUND,CORROSION,167.93440281030442
UNDERGROUND,EXCAVATION DAMAGE,773.0542391304349
UNDERGROUND,INCORRECT OPERATION,529.6518367346939
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,567.8771913580247
UNDERGROUND,NATURAL FORCE DAMAGE,1370.0376666666666
UNDERGROUND,OTHER OUTSIDE FORCE DAMAGE,1427.32
